comment,label
You should really be careful,Threat
frankly I appreciate you right now,Love
seriously Have a good day,Neutral
I so hate everything about this right now,Hate
honestly That was a dumb idea,Insult
frankly so I cannot stand you,Hate
I will destroy you,Threat
frankly I hate you,Hate
You are in extremely danger,Threat
frankly quite Go away,Harassment
The weather quite is nice today to be honest,Neutral
I am coming for you,Threat
frankly You very are useless,Insult
You really are pathetic,Insult
frankly You are amazing,Love
I cannot really stand you,Hate
I quite cannot stand you,Hate
frankly You sound foolish these days,Insult
You will suffer for really this,Threat
Have a good extremely day these days,Neutral
I love this so extremely much these days,Love
seriously You did fantastic,Love
This makes really me angry,Hate
frankly I hate everything about this,Hate
You are pathetic,Insult
seriously Why do you keep messaging me to be honest,Harassment
This is nonsense,Insult
I detest this these days,Hate
You are awesome,Love
You make no sense,Insult
Hi there,Neutral
I will quite hurt you,Threat
honestly Do not message extremely me again,Harassment
I love this so much,Love
I really cannot stand you to be honest,Hate
I will find you right now,Threat
Stop disturbing me right now,Harassment
Stop this behavior,Harassment
seriously Great job these days,Love
That was a dumb extremely idea right now,Insult
seriously I will make very you pay right now,Threat
Thank quite you very much,Neutral
This quite is harassment,Harassment
I really really hate this right now,Hate
frankly I appreciate you,Love
I appreciate very you these days,Love
Stop really this behavior to be honest,Harassment
This makes quite me angry to be honest,Hate
seriously Stop this behavior,Harassment
honestly You will regret this,Threat
seriously This is a normal message,Neutral
Do not message me again to be honest,Harassment
Great job right now,Love
honestly Nice to meet you,Neutral
Stop bothering me to be honest,Harassment
seriously This is nonsense,Insult
You will suffer for this,Threat
Great job,Love
Leave me very alone,Harassment
You are annoying,Harassment
I loathe your behavior these days,Hate
I will hurt you right now,Threat
honestly I really really hate this,Hate
I so will hurt you,Threat
seriously very Hi there these days,Neutral
seriously You are useless,Insult
honestly so You are useless,Insult
frankly I will make really you pay right now,Threat
seriously I am so going to the store,Neutral
How are you,Neutral
Leave quite me alone right now,Harassment
honestly Quit spamming me,Harassment
You are stupid to be honest,Insult
I will hurt you,Threat
Leave me alone,Harassment
I detest this,Hate
This is a normal message,Neutral
Good morning to be honest,Neutral
Great job,Love
Stop really bothering me these days,Harassment
Have a good very day,Neutral
You sound foolish,Insult
seriously Stop very bothering me,Harassment
frankly I strongly very dislike you to be honest,Hate
You are quite pathetic right now,Insult
I really hate this these days,Hate
seriously I really love this so much to be honest,Love
frankly This fills me with hate these days,Hate
seriously I will make you pay,Threat
Thank you very much,Neutral
You are pathetic,Insult
You are an idiot,Insult
I will destroy you,Threat
seriously You are stupid,Insult
seriously This is extremely wonderful these days,Love
I quite strongly dislike you,Hate
frankly I strongly dislike you,Hate
Hi there to be honest,Neutral
That was a dumb idea to be honest,Insult
You did fantastic,Love
seriously You are amazing,Love
I strongly dislike you,Hate
seriously You are ridiculous,Insult
What a stupid thing so to say,Insult
You extremely did fantastic,Love
You will regret very this these days,Threat
frankly You did fantastic right now,Love
I strongly dislike you,Hate
What a stupid thing quite to say,Insult
frankly You sound extremely foolish these days,Insult
You will suffer for this,Threat
This is wonderful to be honest,Love
honestly I very love you right now,Love
Do not so message me again,Harassment
honestly You quite are useless,Insult
Hello,Neutral
Stop disturbing very me,Harassment
You are pathetic,Insult
This extremely is wonderful these days,Love
You are so awesome to be honest,Love
frankly You will regret this,Threat
What a stupid thing to say these days,Insult
frankly very You are stupid,Insult
seriously This fills me with very hate,Hate
I love you,Love
seriously I am going to quite the store to be honest,Neutral
Leave me alone,Harassment
I am quite going to the store these days,Neutral
Nice to meet you,Neutral
seriously I really will find you right now,Threat
You are ridiculous,Insult
You so are an idiot to be honest,Insult
I will make extremely you pay,Threat
I extremely despise you,Hate
That was a so dumb idea,Insult
I really detest this,Hate
This is a normal message,Neutral
seriously extremely I love this so much,Love
You did extremely fantastic,Love
I hate everything about this,Hate
seriously very I cannot stand you,Hate
seriously I despise you to be honest,Hate
Why do you keep messaging me,Harassment
frankly You sound foolish these days,Insult
frankly really Great job,Love
I love quite you to be honest,Love
