comment,label
You are stupid,Insult
You are an idiot,Insult
You are useless,Insult
You make no sense,Insult
That was a dumb idea,Insult
You sound foolish,Insult
This is nonsense,Insult
You are ridiculous,Insult
What a stupid thing to say,Insult
You are pathetic,Insult
I hate you,Hate
I really hate this,Hate
I despise you,Hate
I cannot stand you,Hate
I hate everything about this,Hate
This makes me angry,Hate
I loathe your behavior,Hate
I strongly dislike you,Hate
This fills me with hate,Hate
I detest this,Hate
I will hurt you,Threat
You will regret this,Threat
I am coming for you,Threat
You should be careful,Threat
I will make you pay,Threat
This is a warning,Threat
You are in danger,Threat
I will destroy you,Threat
You will suffer for this,Threat
I will find you,Threat
I love you,Love
I love this so much,Love
You are amazing,Love
This is wonderful,Love
Great job,Love
I appreciate you,Love
You did fantastic,Love
I admire your work,Love
This made my day,Love
You are awesome,Love
Stop bothering me,Harassment
Leave me alone,Harassment
Do not message me again,Harassment
You are annoying,Harassment
Stop disturbing me,Harassment
This is harassment,Harassment
Quit spamming me,Harassment
Why do you keep messaging me,Harassment
Stop this behavior,Harassment
Go away,Harassment
Hello,Neutral
Hi there,Neutral
Good morning,Neutral
How are you,Neutral
Nice to meet you,Neutral
Have a good day,Neutral
Thank you very much,Neutral
I am going to the store,Neutral
The weather is nice today,Neutral
This is a normal message,Neutral


